s,object_type
10433908m,http://example.com/ontology/Museum
10434046m,http://example.com/ontology/Museum
10434733m,http://example.com/ontology/Museum
104381465b,http://example.com/ontology/Build
104381471m,http://example.com/ontology/Museum
104386988m,http://example.com/ontology/Museum
10439349m,http://example.com/ontology/Museum
1044149b,http://example.com/ontology/Build
104425267b,http://example.com/ontology/Build
1044279b,http://example.com/ontology/Build
10443031m,http://example.com/ontology/Museum
10443072m,http://example.com/ontology/Museum
104441744m,http://example.com/ontology/Museum
10444176w,http://example.com/ontology/World_Heritage
10448224b,http://example.com/ontology/Build
104519416m,http://example.com/ontology/Museum
104520611b,http://example.com/ontology/Build
104520764b,http://example.com/ontology/Build
104527429m,http://example.com/ontology/Museum
104531835m,http://example.com/ontology/Museum
104535035b,http://example.com/ontology/Build
10453586b,http://example.com/ontology/Build
104587975m,http://example.com/ontology/Museum
10459776m,http://example.com/ontology/Museum
104603077b,http://example.com/ontology/Build
104604487m,http://example.com/ontology/Museum
104611489m,http://example.com/ontology/Museum
104612792m,http://example.com/ontology/Museum
1046135b,http://example.com/ontology/Build
1046414m,http://example.com/ontology/Museum
1046414w,http://example.com/ontology/World_Heritage
104641515b,http://example.com/ontology/Build
1046529m,http://example.com/ontology/Museum
1046564b,http://example.com/ontology/Build
10466067m,http://example.com/ontology/Museum
10466069m,http://example.com/ontology/Museum
10466082m,http://example.com/ontology/Museum
10466596b,http://example.com/ontology/Build
104666850b,http://example.com/ontology/Build
104669707m,http://example.com/ontology/Museum
1046818w,http://example.com/ontology/World_Heritage
104693069m,http://example.com/ontology/Museum
104693458m,http://example.com/ontology/Museum
104698654m,http://example.com/ontology/Museum
104698890m,http://example.com/ontology/Museum
104708964m,http://example.com/ontology/Museum
104708970m,http://example.com/ontology/Museum
104708990m,http://example.com/ontology/Museum
104713155m,http://example.com/ontology/Museum
104713157m,http://example.com/ontology/Museum
104713411m,http://example.com/ontology/Museum
104721896m,http://example.com/ontology/Museum
104723730b,http://example.com/ontology/Build
104730345m,http://example.com/ontology/Museum
104732316b,http://example.com/ontology/Build
10474049m,http://example.com/ontology/Museum
104759138m,http://example.com/ontology/Museum
104762344m,http://example.com/ontology/Museum
10476433m,http://example.com/ontology/Museum
104764650b,http://example.com/ontology/Build
104768924m,http://example.com/ontology/Museum
10477004m,http://example.com/ontology/Museum
104773079m,http://example.com/ontology/Museum
10477543m,http://example.com/ontology/Museum
104783590m,http://example.com/ontology/Museum
104805237m,http://example.com/ontology/Museum
104817303m,http://example.com/ontology/Museum
104818158b,http://example.com/ontology/Build
104827844m,http://example.com/ontology/Museum
104830558h,http://example.com/ontology/Hotel
104831902m,http://example.com/ontology/Museum
104840705m,http://example.com/ontology/Museum
104847273m,http://example.com/ontology/Museum
104847659b,http://example.com/ontology/Build
104849335m,http://example.com/ontology/Museum
104852118m,http://example.com/ontology/Museum
104853511m,http://example.com/ontology/Museum
104854327m,http://example.com/ontology/Museum
104857413m,http://example.com/ontology/Museum
1048587b,http://example.com/ontology/Build
104860479b,http://example.com/ontology/Build
104863848m,http://example.com/ontology/Museum
104869793m,http://example.com/ontology/Museum
1048705m,http://example.com/ontology/Museum
10488329m,http://example.com/ontology/Museum
104902212m,http://example.com/ontology/Museum
104902580m,http://example.com/ontology/Museum
1049027h,http://example.com/ontology/Hotel
104902896m,http://example.com/ontology/Museum
104902940m,http://example.com/ontology/Museum
104904427m,http://example.com/ontology/Museum
1049197m,http://example.com/ontology/Museum
1049209h,http://example.com/ontology/Hotel
104922828b,http://example.com/ontology/Build
104923543m,http://example.com/ontology/Museum
1049270w,http://example.com/ontology/World_Heritage
1049274m,http://example.com/ontology/Museum
10492794m,http://example.com/ontology/Museum
1049301w,http://example.com/ontology/World_Heritage
10493439m,http://example.com/ontology/Museum
10493441m,http://example.com/ontology/Museum
10493647m,http://example.com/ontology/Museum
10493658m,http://example.com/ontology/Museum
1049376b,http://example.com/ontology/Build
10493886m,http://example.com/ontology/Museum
10495501m,http://example.com/ontology/Museum
10495732b,http://example.com/ontology/Build
10495758m,http://example.com/ontology/Museum
1049579w,http://example.com/ontology/World_Heritage
104960020m,http://example.com/ontology/Museum
1049719b,http://example.com/ontology/Build
104974874b,http://example.com/ontology/Build
104978614m,http://example.com/ontology/Museum
10498336m,http://example.com/ontology/Museum
10498454m,http://example.com/ontology/Museum
10498685m,http://example.com/ontology/Museum
10498762m,http://example.com/ontology/Museum
10499820m,http://example.com/ontology/Museum
1050074b,http://example.com/ontology/Build
10500795m,http://example.com/ontology/Museum
10500930m,http://example.com/ontology/Museum
10500933w,http://example.com/ontology/World_Heritage
10501538m,http://example.com/ontology/Museum
10501569m,http://example.com/ontology/Museum
10501839m,http://example.com/ontology/Museum
1050224b,http://example.com/ontology/Build
10502507m,http://example.com/ontology/Museum
10503166m,http://example.com/ontology/Museum
10503184m,http://example.com/ontology/Museum
1050324w,http://example.com/ontology/World_Heritage
105038697b,http://example.com/ontology/Build
105076520b,http://example.com/ontology/Build
10507692m,http://example.com/ontology/Museum
105085055b,http://example.com/ontology/Build
105085144m,http://example.com/ontology/Museum
105086770m,http://example.com/ontology/Museum
10509750m,http://example.com/ontology/Museum
10511304m,http://example.com/ontology/Museum
105120194m,http://example.com/ontology/Museum
1051217b,http://example.com/ontology/Build
10512447b,http://example.com/ontology/Build
10512831m,http://example.com/ontology/Museum
10512894m,http://example.com/ontology/Museum
105136101w,http://example.com/ontology/World_Heritage
1051458w,http://example.com/ontology/World_Heritage
10515883m,http://example.com/ontology/Museum
1051604h,http://example.com/ontology/Hotel
10516123m,http://example.com/ontology/Museum
10516324m,http://example.com/ontology/Museum
1051673m,http://example.com/ontology/Museum
10516806m,http://example.com/ontology/Museum
105180237b,http://example.com/ontology/Build
105189951m,http://example.com/ontology/Museum
105197399m,http://example.com/ontology/Museum
105212512b,http://example.com/ontology/Build
105227863b,http://example.com/ontology/Build
10524043h,http://example.com/ontology/Hotel
10524047h,http://example.com/ontology/Hotel
105240825m,http://example.com/ontology/Museum
10526554h,http://example.com/ontology/Hotel
