s,name
https://www.wikidata.org/wiki/Q16949846,B&O Railroad Headquarters Building
https://www.wikidata.org/wiki/Q16995460,Wyndham Springfield City Centre
https://www.wikidata.org/wiki/Q17019762,Magnolia Hotel
https://www.wikidata.org/wiki/Q1743514,Kirkland Hotel
https://www.wikidata.org/wiki/Q17444603,Hilton Frankfurt Airport
https://www.wikidata.org/wiki/Q17619057,Agronomitalo
https://www.wikidata.org/wiki/Q1795050,Palace Station
https://www.wikidata.org/wiki/Q18534517,Hilton London Syon Park
https://www.wikidata.org/wiki/Q18547,Shanghai Tower
https://www.wikidata.org/wiki/Q1874734,Hotel International Prague
https://www.wikidata.org/wiki/Q18760038,Munkkiniemi education center
https://www.wikidata.org/wiki/Q189476,Abraj Al Bait
https://www.wikidata.org/wiki/Q19462194,Harper House
https://www.wikidata.org/wiki/Q19513101,Hilton Manchester Deansgate
https://www.wikidata.org/wiki/Q19564041,Hedemora stadshotell
https://www.wikidata.org/wiki/Q19817552,Delta Toronto Hotel
https://www.wikidata.org/wiki/Q19871631,Broadway Hotel
https://www.wikidata.org/wiki/Q20075891,Hilton Kyiv
https://www.wikidata.org/wiki/Q2048307,Palms Casino Resort
https://www.wikidata.org/wiki/Q2135814,Hilton Amsterdam
https://www.wikidata.org/wiki/Q214139,Morrison Hotel
https://www.wikidata.org/wiki/Q21504226,Hilton Birmingham Metropole
https://www.wikidata.org/wiki/Q220141,Waldorf Astoria Berlin
https://www.wikidata.org/wiki/Q22079320,St. Nicholas Hotel
https://www.wikidata.org/wiki/Q2258969,Eureka Inn
https://www.wikidata.org/wiki/Q2297323,Delano Las Vegas
https://www.wikidata.org/wiki/Q22978033,U Medvídků
https://www.wikidata.org/wiki/Q23301461,Beaumont Hotel
