p_id,c_id
189358w,35w
510279w,39w
552005w,96w
575976w,145w
588009w,29w
589634w,36w
611345w,17w
20985659w,29w
20985671w,29w
21013554w,29w
21045678w,794w
21081295w,29w
21619511w,142w
21653863w,17w
21781592w,96w
22119078w,17w
22343020w,29w
22939873w,142w
22980119w,142w
25039883w,155w
25238215w,39w
25479438w,29w
26256588w,34w
26926895w,29w
27044856w,155w
27787520w,96w
28518274w,29w
28974565w,29w
29167822w,225w
29583897w,39w
29583901w,38w
29583905w,38w
29583931w,142w
29583949w,40w
29583957w,38w
644490w,183w
649384w,668w
681861w,414w
505617w,38w
552106w,45w
422995w,869w
461272w,38w
500397w,1036w
740138w,801w
3181816w,148w
3182054w,148w
3271236w,148w
3313058w,148w
3320500w,148w
3504601w,148w
4130614w,148w
874027w,17w
920206w,34w
750190w,813w
746063w,38w
828412w,218w
838928w,1036w
837935w,148w
838085w,148w
4688554w,145w
17642986w,145w
17645205w,145w
17645274w,145w
17647161w,145w
17675747w,145w
43164575w,29w
43169149w,29w
43176876w,29w
43178520w,29w
64798103w,711w
64811599w,145w
64811597w,145w
64811620w,145w
64811627w,145w
64811628w,145w
64811639w,145w
64811650w,145w
64811653w,145w
64811661w,145w
64811750w,145w
64811753w,145w
64811756w,145w
64811775w,145w
64811814w,145w
64811826w,145w
64811857w,145w
64811886w,145w
64811891w,145w
64811919w,183w
64811955w,183w
64812055w,183w
64812064w,183w
64812069w,183w
64812072w,183w
64812092w,183w
64812098w,183w
64812123w,183w
64812141w,183w
64812175w,183w
64812172w,183w
64812178w,183w
64812266w,183w
64812325w,183w
64812433w,183w
64812443w,183w
64812526w,183w
64812538w,183w
64812570w,183w
487174w,38w
719422w,184w
726803w,191w
733069w,218w
741636w,804w
751274w,408w
753383w,233w
757114w,38w
1551411w,148w
1982506w,41w
2149114w,148w
2200748w,148w
587584w,145w
593147w,45w
629902w,148w
643063w,408w
1018661w,159w
2893756w,31w
2928960w,142w
2979479w,142w
3027848w,183w
3049225w,39w
3058143w,34w
3027848w,1747689w
16363487w,212w
16942531w,668w
18087815w,16w
19407124w,225w
19407156w,225w
19747664w,29w
20650454w,30w
57072712w,414w
64636277w,213w
64642132w,213w
64699502w,43w
64746144w,159w
808563w,928w
839603w,736w
200200w,796w
390264w,419w
464904w,148w
775020w,159w
797418w,858w
814730w,836w
1134454w,717w
1144686w,142w
1147957w,41w
1186324w,28025w
1186324w,17w
877185w,881w
882413w,183w
890652w,403w
938289w,843w
3846809w,96w
3861082w,258w
3899974w,414w
3921197w,55w
4018530w,55w
4262021w,159w
4329920w,159w
4416676w,159w
4504757w,159w
4504849w,159w
4736815w,155w
4817182w,155w
4838578w,242w
4900869w,837w
4919631w,869w
935426w,16w
940416w,218w
942422w,805w
958961w,142w
1061531w,717w
1063133w,17w
1091515w,29w
842822w,227w
844841w,41w
679891w,1041w
683110w,16w
3077344w,17w
3111780w,142w
3128420w,39w
3322194w,148w
3330685w,29w
3524629w,114w
3531488w,854w
3556184w,39w
3572667w,17w
3573401w,39w
3696259w,668w
461371w,29w
107674350w,38w
109123298w,38w
8343767w,739w
9390606w,36w
10649093w,183w
10769129w,881w
10913999w,403w
11288310w,40w
10769129w,70802w
1141009w,96w
1144337w,148w
1175856w,79w
1244337w,717w
697693w,183w
702528w,183w
705035w,17w
705154w,17w
